??,?,?,?,?,?,?
5/16/2018 9:55,7.09 ,7.10 ,7.08 ,7.08 ,30790,21823308
5/16/2018 10:00,7.08 ,7.10 ,7.08 ,7.09 ,26149,18535532
5/16/2018 10:05,7.08 ,7.11 ,7.08 ,7.11 ,44409,31515456
5/16/2018 10:10,7.10 ,7.11 ,7.08 ,7.09 ,37172,26354354
5/16/2018 10:15,7.09 ,7.09 ,7.07 ,7.08 ,51722,36634748
5/16/2018 10:20,7.07 ,7.08 ,7.06 ,7.07 ,33493,23683940
5/16/2018 10:25,7.07 ,7.08 ,7.06 ,7.08 ,20754,14676499
5/16/2018 10:30,7.08 ,7.08 ,7.06 ,7.07 ,16642,11766072
5/16/2018 10:35,7.07 ,7.07 ,7.06 ,7.07 ,23806,16812006
5/16/2018 10:40,7.06 ,7.07 ,7.05 ,7.06 ,29467,20804724
5/16/2018 10:45,7.06 ,7.07 ,7.05 ,7.06 ,27316,19288460
5/16/2018 10:50,7.06 ,7.07 ,7.05 ,7.06 ,37100,26174184
5/16/2018 10:55,7.06 ,7.07 ,7.05 ,7.06 ,22754,16056407
5/16/2018 11:00,7.06 ,7.07 ,7.05 ,7.07 ,19648,13872176
5/16/2018 11:05,7.07 ,7.08 ,7.06 ,7.08 ,21412,15124498
5/16/2018 11:10,7.08 ,7.08 ,7.06 ,7.07 ,16357,11559324
5/16/2018 11:15,7.07 ,7.08 ,7.06 ,7.06 ,23962,16922864
5/16/2018 11:20,7.06 ,7.07 ,7.05 ,7.06 ,31911,22508420
5/16/2018 11:25,7.05 ,7.06 ,7.05 ,7.05 ,24344,17167904
5/16/2018 11:30,7.05 ,7.07 ,7.05 ,7.05 ,16459,11612182
5/16/2018 13:05,7.06 ,7.08 ,7.06 ,7.08 ,28232,19955632
5/16/2018 13:10,7.07 ,7.08 ,7.07 ,7.08 ,9054,6404464
5/16/2018 13:15,7.08 ,7.09 ,7.07 ,7.08 ,9622,6808784
5/16/2018 13:20,7.09 ,7.09 ,7.07 ,7.08 ,12226,8649120
5/16/2018 13:25,7.07 ,7.08 ,7.06 ,7.08 ,18608,13154960
5/16/2018 13:30,7.07 ,7.07 ,7.06 ,7.07 ,16657,11766688
5/16/2018 13:35,7.06 ,7.09 ,7.06 ,7.07 ,20318,14361504
5/16/2018 13:40,7.07 ,7.09 ,7.07 ,7.08 ,11993,8485568
5/16/2018 13:45,7.08 ,7.09 ,7.07 ,7.07 ,14902,10549872
5/16/2018 13:50,7.08 ,7.09 ,7.07 ,7.08 ,16562,11726640
5/16/2018 13:55,7.08 ,7.09 ,7.07 ,7.07 ,8410,5949824
5/16/2018 14:00,7.08 ,7.08 ,7.07 ,7.07 ,13736,9713840
5/16/2018 14:05,7.08 ,7.08 ,7.06 ,7.08 ,18039,12754368
5/16/2018 14:10,7.07 ,7.08 ,7.07 ,7.08 ,15301,10823936
5/16/2018 14:15,7.07 ,7.09 ,7.07 ,7.08 ,18841,13334352
5/16/2018 14:20,7.07 ,7.08 ,7.07 ,7.08 ,14860,10512224
5/16/2018 14:25,7.08 ,7.10 ,7.07 ,7.09 ,22122,15686864
5/16/2018 14:30,7.10 ,7.10 ,7.08 ,7.09 ,22570,16010576
5/16/2018 14:35,7.09 ,7.10 ,7.07 ,7.08 ,40082,28385568
5/16/2018 14:40,7.07 ,7.08 ,7.07 ,7.07 ,21193,14990208
5/16/2018 14:45,7.07 ,7.08 ,7.07 ,7.07 ,15146,10715696
5/16/2018 14:50,7.08 ,7.09 ,7.08 ,7.08 ,16382,11607440
5/16/2018 14:55,7.09 ,7.10 ,7.08 ,7.08 ,24012,17021952
5/16/2018 15:00,7.09 ,7.11 ,7.08 ,7.10 ,53976,38286368
5/17/2018 9:35,7.12 ,7.13 ,7.11 ,7.13 ,91536,65192808
5/17/2018 9:40,7.12 ,7.17 ,7.12 ,7.15 ,99471,71092344
5/17/2018 9:45,7.16 ,7.16 ,7.14 ,7.15 ,60043,42946416
5/17/2018 9:50,7.14 ,7.15 ,7.13 ,7.15 ,33347,23796700
